Site_Duration	PurchaseRates	ExitRates	VisitorType	Weekend
0	0.2	0.2	Returning_Visitor	FALSE
64	0	0.1	Returning_Visitor	FALSE
0	0.2	0.2	Returning_Visitor	FALSE
2.666666667	0.05	0.14	Returning_Visitor	FALSE
627.5	0.02	0.05	Returning_Visitor	TRUE
154.2166667	0.015789474	0.024561404	Returning_Visitor	FALSE
0	0.2	0.2	Returning_Visitor	FALSE
0	0.2	0.2	Returning_Visitor	TRUE
37	0	0.1	Returning_Visitor	FALSE
738	0	0.022222222	Returning_Visitor	FALSE
395	0	0.066666667	Returning_Visitor	FALSE
407.75	0.01875	0.025833333	Returning_Visitor	FALSE
280.5	0	0.028571429	Returning_Visitor	FALSE
98	0	0.066666667	Returning_Visitor	FALSE
68	0	0.1	Returning_Visitor	FALSE
1668.285119	0.008333333	0.016312636	Returning_Visitor	FALSE
0	0.2	0.2	Returning_Visitor	FALSE
334.9666667	0	0.007692308	Returning_Visitor	TRUE
32	0	0.1	Returning_Visitor	FALSE
2981.166667	0	0.01	Returning_Visitor	FALSE
136.1666667	0	0.008333333	Returning_Visitor	TRUE
0	0.2	0.2	Returning_Visitor	FALSE
105	0	0.033333333	Returning_Visitor	FALSE
15	0	0.1	Returning_Visitor	FALSE
0	0.2	0.2	Returning_Visitor	TRUE
156	0	0.04	Returning_Visitor	FALSE
1135.444444	0.002857143	0.00952381	Returning_Visitor	FALSE
76	0.05	0.1	Returning_Visitor	FALSE
63	0	0.05	Returning_Visitor	FALSE
1582.75	0.043478261	0.050821256	Returning_Visitor	FALSE
35	0	0.1	Returning_Visitor	FALSE
78	0	0.066666667	Returning_Visitor	TRUE
209.5	0	0.025	Returning_Visitor	FALSE
183.6666667	0.04	0.08	Returning_Visitor	FALSE
380.5	0.014285714	0.028571429	Returning_Visitor	FALSE
2086.242857	0.015384615	0.020352564	Returning_Visitor	FALSE
388	0.025	0.05625	Returning_Visitor	TRUE
298	0	0.028571429	Returning_Visitor	FALSE
63	0.028571429	0.071428571	Returning_Visitor	FALSE
482	0	0.022222222	Returning_Visitor	FALSE
4084.393939	0	0.001794872	Returning_Visitor	FALSE
22	0	0.066666667	Returning_Visitor	FALSE
310.1666667	0	0.006666667	Returning_Visitor	FALSE
34	0	0.05	Returning_Visitor	FALSE
88	0	0.05	Returning_Visitor	FALSE
622.25	0.003030303	0.006060606	Returning_Visitor	FALSE
222.4	0.017142857	0.057142857	Returning_Visitor	FALSE
80	0.066666667	0.133333333	Returning_Visitor	FALSE
800.8333333	0	0.003636364	Returning_Visitor	FALSE
0	0.2	0.2	Returning_Visitor	FALSE
0	0.2	0.2	Returning_Visitor	TRUE
265.1666667	0.011111111	0.026111111	Returning_Visitor	FALSE
29	0	0.1	Returning_Visitor	TRUE
160	0	0.075	Returning_Visitor	FALSE
135.6666667	0.05	0.025	Returning_Visitor	FALSE
0	0.2	0.2	Returning_Visitor	FALSE
0	0.2	0.2	Returning_Visitor	FALSE
998.7416667	0	0.014736467	Returning_Visitor	FALSE
104	0	0.05	Returning_Visitor	FALSE
381.6865079	0.011764706	0.046568627	Returning_Visitor	FALSE
169	0	0.016666667	Returning_Visitor	FALSE
400.8	0.05	0.120833333	Returning_Visitor	FALSE
1553.583333	0.009	0.019666667	Returning_Visitor	FALSE
706.5	0	0.007142857	Returning_Visitor	TRUE
0	0.2	0.2	Returning_Visitor	FALSE
798.3333333	0	0.012643678	Returning_Visitor	FALSE
6951.972222	0.002150538	0.015013034	Returning_Visitor	FALSE
0	0.2	0.2	Returning_Visitor	FALSE
902	0	0.007407407	Returning_Visitor	FALSE
0	0.2	0.2	Returning_Visitor	FALSE
0	0.2	0.2	Returning_Visitor	FALSE
197.3777778	0.025	0.0525	Returning_Visitor	FALSE
43	0	0.1	Returning_Visitor	FALSE
426.6666667	0	0.0125	Returning_Visitor	FALSE
135	0	0.066666667	Returning_Visitor	FALSE
588.3333333	0	0.025	Returning_Visitor	FALSE
2111.341667	0.004347826	0.014492754	Returning_Visitor	FALSE
76	0	0.05	Returning_Visitor	FALSE
0	0.2	0.2	Returning_Visitor	TRUE
0	0.2	0.2	Returning_Visitor	FALSE
208	0	0.028571429	Returning_Visitor	TRUE
270	0	0.016666667	Returning_Visitor	FALSE
39.5	0	0.02	Returning_Visitor	FALSE
375	0.016666667	0.058333333	Returning_Visitor	FALSE
0	0.2	0.2	Returning_Visitor	TRUE
0	0.2	0.2	Returning_Visitor	FALSE
150	0.057142857	0.085714286	Returning_Visitor	FALSE
138	0	0.066666667	Returning_Visitor	FALSE
337.5	0.028571429	0.023809524	Returning_Visitor	FALSE
620.0333333	0	0.007894737	Returning_Visitor	FALSE
168.8461538	0	0.011764706	Returning_Visitor	FALSE
0	0.2	0.2	Returning_Visitor	TRUE
52	0	0.1	Returning_Visitor	FALSE
649.25	0	0.015384615	New_Visitor	FALSE
925.3333333	0.003703704	0.025925926	Returning_Visitor	FALSE
33	0	0.1	Returning_Visitor	FALSE
1566.5	0.05	0.066666667	Returning_Visitor	FALSE
105	0	0.025	Returning_Visitor	FALSE
50	0.038095238	0.080952381	Returning_Visitor	FALSE
644.2	0.004166667	0.031666667	Returning_Visitor	FALSE
2635.177778	0	0.008947368	Returning_Visitor	FALSE
607	0	0.026984127	Returning_Visitor	TRUE
415	0	0.033333333	Returning_Visitor	FALSE
2083.530952	0	0.01351025	Returning_Visitor	FALSE
281.6666667	0.007058824	0.017647059	Returning_Visitor	FALSE
27	0.15	0.15	Returning_Visitor	FALSE
215	0.044444444	0.074074074	Returning_Visitor	FALSE
162	0.05	0.066666667	Returning_Visitor	FALSE
114	0.05	0.066666667	Returning_Visitor	FALSE
5062.213753	0.000854701	0.01791847	Returning_Visitor	FALSE
